CAT	EXAMPLEID
LOC	ru0100231
LOC	ru0100232
LOC	ru0100233
LOC	ru0100234
LOC	ru0100235
PREP	ru0100236
PREP	ru0100237
PREP	ru0100238
PREP	ru0100239
GEN	ru0100240
GEN	ru0100241
GENPART	ru0100242
GENPART	ru0100243
GEN	ru0100244
GEN	ru0100245
GEN	ru0100246
GEN	ru0100247
GEN	ru0100248
GEN	ru0100249
PREPOST	ru0100250
PREPOST	ru0100251
AGR-NUM	ru0100252
AGR-NUM	ru0100253
AGR-NUM	ru0100255
AGR-NUM	ru0100254
AGR-NUM	ru0100256
AGR-NUM	ru0100257
AGR-NUM	ru0100258
AGR-NUM	ru0100259
AGR-NUM	ru0100260
AGR-NUM	ru0100261
AGR-NUM	ru0100262
NAME	ru0100263
NAME	ru0100264
INCOUNT	ru0100265
SF-ADJ	ru0100266
LF-ADJ	ru0100267
AGR-NUM	ru0100268
GRAD	ru0100269
POSTFIX	ru0100270
REFL	ru0100270
POSTFIX	ru0100271
POSTFIX	ru0100272
REFL	ru0100273
REFL	ru0100274
AGRSEM	ru0100275
AGRSEM	ru0100276
AGRSEM	ru0100277
AGRSEM	ru0100278
AGRSEM	ru0100279
NAME	ru0100280
COMP	ru0100281
COMP	ru0100282
SA-DIR	ru0100283
SA-DIR	ru0100284
SA-DIR	ru0100285
